FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
6	11D	363	3527	709	56720	0.65	22.6		31.3959620157224	65
3	3A	821	4056	527	42160	0.65	22.3		47.0662235447589	65
3	3B	786	3881	521	41680	0.65	22.3		45.6829516349275	65
3	3C	701	3456	529	42320	0.65	22.3		40.4892427774896	65
3	3D	903	4466	593	47440	0.65	22.3		46.1429034052343	65
3	3E	781	3856	593	47440	0.65	22.3		40.3141294452558	65
3	3F	747	3686	588	47040	0.65	22.3		38.9698267397629	65
9	9A	560	1105.2	174	13920	0.75	22.8		39.4479442769748	75
9	9B	775	1535.2	163	13040	0.75	22.8	1	56.4877400989345	75
9	9C	588	1161.2	160	12800	0.75	22.8		44.6054617998602	75
9	9D	386	757.2	154	12320	0.75	22.8		31.0527166803533	75
9	9E	426	837.2	146	11680	0.75	22.8		35.8695385470083	75
9	9F	544	1073.2	173	13840	0.75	22.8		38.5934482082372	75
7	7A	207	197.6	548	43840	0.75	22.8	1	2.40639579088982	75
7	7B	312	302.6	651	52080	0.75	22.8	1	3.09803010969821	75
7	7C	373	363.6	575	46000	0.75	22.8	1	4.20581809948112	75
7	7D	459	449.6	617	49360	0.75	22.8	1	4.84079855017949	75
7	7E	347	337.6	594	47520	0.75	22.8	1	3.78316500629799	75
7	7F	174	164.6	654	52320	0.75	22.8	1	1.6819059254137	75
1	1A	765	3788	524	41920	0.75	22.8		44.4448569811584	75
1	1B	910	4513	471	37680	0.75	22.8	1	57.3625817062656	75
1	1C	839	4158	439	35120	0.75	22.8	1	56.7726126339976	75
1	1D	771	3818	517	41360	0.75	22.8		45.3223775597171	75
1	1E	626	3093	455	36400	0.75	22.8		42.0013796458922	75
1	1F	760	3763	496	39680	0.75	22.8		46.4534711571415	75
1	1A	517	5070	588	47040	0.75	22.6		52.1783867622476	75
1	1B	665	6550	618	49440	0.75	22.6	1	62.7385668646935	75
1	1C	584	5740	574	45920	0.75	22.6		59.5883351781881	75
1	1D	549	5390	615	49200	0.75	22.6		52.9516420497143	75
1	1E	598	5880	609	48720	0.75	22.6		57.7548479419362	75
1	1F	617	6070	654	52320	0.75	22.6		55.7511688779657	75
12	12A	729	3607	557	44560	0.85	22.8		40.1606104779106	85
12	12B	699	3457	530	42400	0.85	22.8		40.4294191159249	85
12	12C	771	3817	555	44400	0.85	22.8		42.4546960278801	85
12	12D	641	3167	499	39920	0.85	22.8		39.4189968571471	85
12	12E	590	2912	496	39680	0.85	22.8		36.6663009097942	85
12	12F	614	3032	464	37120	0.85	22.8		40.4972726225941	85
12	12A	412	4022	679	54320	0.85	22.6		36.9712823828469	85
12	12B	489	4792	564	45120	0.85	22.6		51.489135269372	85
12	12C	416	4062	683	54640	0.85	22.6		37.109985306194	85
12	12D	447	4372	736	58880	0.85	22.6		37.068896044257	85
12	12E	452	4422	599	47920	0.85	22.6		45.3077177681695	85
12	12F	395	3852	615	49200	0.85	22.6		38.9393124473616	85
7	7A	667	3288.5	520	41600	0.85	22.3		39.2885964579178	85
7	7B	632	3113.5	567	45360	0.85	22.3		34.4467499601968	85
7	7C	642	3163.5	573	45840	0.85	22.3		34.621390003281	85
7	7D	714	3523.5	563	45040	0.85	22.3		38.9106116940318	85
7	7E	695	3428.5	523	41840	0.85	22.3		40.6173711173501	85
7	7F	791	3908.5	508	40640	0.85	22.3		47.0522929480349	85
10	10A	535	5261	688	55040	0.85	22.3		46.7894078431872	85
10	10B	495	4861	615	49200	0.85	22.3		48.2220098723766	85
10	10C	498	4891	625	50000	0.85	22.3		47.7859562807867	85
10	10D	388	3791	690	55200	0.85	22.3		34.4644845475513	85
10	10E	479	4701	704	56320	0.85	22.3		41.3156597409738	85
10	10F	692	6831	693	55440	0.85	22.3	1	58.8304549215498	85
7	7A	278	2684	479	38320	0.75	23		35.1042782305217	75
7	7B	293	2834	438	35040	0.75	23		40.1293783876767	75
7	7C	327	3174	475	38000	0.75	23		41.3416326492476	75
7	7D	235	2254	443	35440	0.75	23	1	32.0690021601508	75
7	7E	366	3564	530	42400	0.75	23		41.5837490030363	75
7	7F	254	2444	564	45120	0.75	23	1	27.5566609322056	75
